spelling	transcription	stressTrans	syllStruct	syllabification	antepenultOnset	apStress	penultHLweight	preantepenultHLweight	finalHLweight	morphology	vowelLength	preantepenultWeight	antepenultWeight	mainStress	finalStress	papStress	penultOnset	suffixType	penultWeight	antepenultHLweight	S	finalWeight	Suffix	finalC	Prefix	prefixType	finalOnset	finalV	penultStress	codaLength	coda	freq	POS
depositor	DAH0PAA1ZIH0TER0	0100	CL.CL.CL.CL	(d AH)(p AA)(z IH)(t ER)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	noshiftOneSyll	-V	L	other	-V	suffix	open	prefix	unstressed	C	er	0	0		0.6990	N
negate	NIH0GEY1T	01	CL.CTC	(n IH)(g EY t)	other	other	L	other	H	complex	longV	other	other	final	1	other	C	noshiftOneSyll	-V	other	otherSingleton	-TC	suffix	Singleton	noPrefix	other	C	ey	0	1	 t	1.2788	V
destitution	DEH2STAH0TUW1SHAH0N	2010	CL.CCL.CL.CL	(d EH)(s t AH)(t UW)(sh AN)	CC	0	L	L	L	complex	shortV	-V	-V	penult	0	2	C	penultShift	-V	L	other	-V	suffix	open	prefix	unstressed	C	an	1	0		0.4771	N
sectional	SEH1KSHAH0NAH0L	100	CLC.CL.CL	(s EH k)(sh AH)(n AL)	C	1	L	other	L	complex	shortV	other	-LC	antepenult	0	other	C	antepenultShift	-V	H	other	-V	suffix	open	noPrefix	other	C	al	0	0		1.0414	A
cliche	KLIY2SHEY1	21	CCL.CT	(k l IY)(sh EY)	other	other	L	other	H	simple	longV	other	other	final	1	other	CC	other	-V	other	other	-VV	noSuffix	open	noPrefix	other	C	ey	2	0		1.5441	NA
zaire	ZAY2IH1R	21	CT.LC	(z AY)(IH r)	other	other	H	other	H	complex	shortV	other	other	final	1	other	C	ultShift	-VV	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	0	ih	2	1	 r	0.6021	NA
proclaim	PROW0KLEY1M	01	CCT.CCTC	(p r OW)(k l EY m)	other	other	H	other	H	complex	longV	other	other	final	1	other	CC	other	-VV	other	otherSingleton	-TC	noSuffix	Singleton	prefix	unstressed	CC	ey	0	1	 m	1.6335	V
irritability	IH2RIH0TAH0BIH1LAH0TIY0	200100	L.CL.CL.CL.CL.CL	(IH)(r IH)(t AH)(b IH)(l AH)(t IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	prefix	unstressed	C	iy	0	0		1.0414	N
semen	SIY1MAH0N	10	CL.CL	(s IY)(m AN)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	an	1	0		2.0531	N
tabloid	TAE1BLOY2D	12	CL.CCTC	(t AE)(b l OY d)	other	other	L	other	H	simple	longV	other	other	penult	2	other	C	other	-V	other	otherSingleton	-TC	noSuffix	Singleton	noPrefix	other	CC	oy	1	1	 d	1.7076	N
loquacious	LOW0KWEY1SHAH0S	010	CT.CCT.CLC	(l OW)(k w EY)(sh AH s)	C	0	H	other	H	complex	shortV	other	-VV	penult	0	other	CC	penultShift	-VV	H	S	-LC	suffix	Singleton	noPrefix	other	C	ah	1	1	 s	0.9542	A
sentiment	SEH1NTAH0MAH0NT	100	CLC.CL.CLC	(s EH n)(t AH)(m AN t)	C	1	L	other	H	complex	shortV	other	-LC	antepenult	0	other	C	noshiftOneSyll	-V	H	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	0	1	 t	2.1732	N
frontier	FRAH0NTIH1R	01	CCL.CLC	(f r AN)(t IH r)	other	other	L	other	H	complex	shortV	other	other	final	1	other	CC	noshiftOneSyll	-V	other	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	ih	0	1	 r	2.1004	N
cerebral	SER0IY1BRAH0L	010	CL.L.CCL	(s ER)(IY)(b r AL)	C	0	L	other	L	complex	shortV	other	-V	penult	0	other	0	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	CC	al	1	0		1.9494	A
casket	KAE1SKAH0T	10	CL.CCLC	(k AE)(s k AH t)	other	other	L	other	H	simple	shortV	other	other	penult	0	other	C	other	-V	other	otherSingleton	-LC	noSuffix	Singleton	noPrefix	other	CC	ah	1	1	 t	2.0086	N
vehement	VAH0HHIY1MAH0NT	010	CL.CL.CLC	(v AH)(hh IY)(m AN t)	C	0	L	other	H	complex	shortV	other	-V	penult	0	other	C	noshiftOneSyll	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	1	1	 t	0.8451	A
gossamer	GAA1SAH0MER0	100	CL.CL.CL	(g AA)(s AH)(m ER)	C	1	L	other	L	complex	shortV	other	-V	antepenult	0	other	C	noshiftOneSyll	-V	L	other	-V	suffix	open	noPrefix	other	C	er	0	0		1.1139	N
whoopee	WUW2PIY1	21	CL.CL	(w UW)(p IY)	other	other	L	other	L	complex	shortV	other	other	final	1	other	C	ultShift	-V	other	other	-V	suffix	open	noPrefix	other	C	iy	2	0		1.8451	I
chaos	KEY1AA2S	12	CT.LC	(k EY)(AA s)	other	other	H	other	H	simple	shortV	other	other	penult	2	other	C	other	-VV	other	S	-LC	noSuffix	Singleton	noPrefix	other	0	aa	1	1	 s	2.5416	N
tabernacle	TAE1BER0NAE2KAH0L	1020	CL.CL.CL.CL	(t AE)(b ER)(n AE)(k AL)	C	0	L	L	L	simple	shortV	-V	-V	preante	0	1	C	other	-V	L	other	-V	noSuffix	open	noPrefix	other	C	al	2	0		1.2788	N
transcend	TRAE2NSEH1ND	21	CCLC.CLCC	(t r AE n)(s EH n d)	other	other	H	other	H	complex	shortV	other	other	final	1	other	CC	other	-LC	other	otherCluster	-LCC	noSuffix	Cluster	prefix	unstressed	C	eh	2	2	 n d	1.2553	V
fascist	FAE1SHAH0ST	10	CL.CLCC	(f AE)(sh AH s t)	other	other	L	other	H	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	SCluster	-LCC	suffix	Cluster	noPrefix	other	C	ah	1	2	 s t	2.0086	A
lumber	LAH1MBER0	10	CL.CL	(l AN)(b ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.9243	V
clatter	KLAE1TER0	10	CCL.CL	(k l AE)(t ER)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	CC	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	er	1	0		1.3979	V
thrifty	THRIH1FTIY0	10	CCLC.CL	(th r IH f)(t IY)	other	other	H	other	L	simple	shortV	other	other	penult	0	other	CC	other	-LC	other	other	-V	noSuffix	open	noPrefix	other	C	iy	1	0		1.2304	A
impart	IH0MPAA1RT	01	LC.CLCC	(IH m)(p AA r t)	other	other	H	other	H	simple	shortV	other	other	final	1	other	0	other	-LC	other	otherCluster	-LCC	noSuffix	Cluster	noPrefix	other	C	aa	0	2	 r t	1.4314	V
utility	YUW0TIH1LAH0TIY0	0100	CL.CL.CL.CL	(y UW)(t IH)(l AH)(t IY)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	0	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	0	0		1.9494	N
plural	PLUH1RAH0L	10	CCL.CL	(p l UH)(r AL)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	CC	antepenultShift	-V	other	other	-V	suffix	open	noPrefix	other	C	al	1	0		1.6232	A
